player,forehand_winner_per,backhand_winner_per,forehand_unforced_error_per,backhand_unforced_error_per,net_per,net_point_direct_win_per,net_point_winning_per,net_point_error_per,passing_per,winner_per,err_per,pts_won_Ite_3_shots_per,shots_in_pts_won_per,shots_in_pts_lost_per,shots_in_won_vs_lost_ratio,inside_in_per,inside_out_per,Counter Puncher,Attacking Baseliner,All-Court Player,Solid Baseliner
Pablo Carreno Busta,9.77,3.2,7.67,7.69,7.42,65.22,4.98,47.95,12.1,30.82454545454545,31.972727272727276,30.93,50.75,49.25,1.07,1.82,10.75,9.433971223744258e-07,99.9986589807552,0.0013396855824517476,3.9026517729016346e-07
Pablo Cuevas,6.09,3.14,7.78,4.69,7.2,57.98,5.21,47.86,25.1,24.745,34.10999999999999,36.7,52.06,47.94,1.12,1.68,13.84,3.583647871976473e-07,99.9994422853549,0.0005569619309427737,3.943493922156971e-07
Paolo Lorenzi,4.76,4.58,7.07,6.09,10.87,49.84,7.83,48.29,9.52,29.89,25.05666666666667,47.42,54.59,45.41,1.26,0.42,11.22,5.8457548428701046e-05,91.76490526031857,8.235019584585144,1.6697547715371212e-05
Pat Cash,8.58,7.11,3.89,6.59,46.28,28.63,32.46,26.62,7.98,34.64666666666667,31.07333333333333,35.37,52.64,47.36,1.14,0.4,9.08,2.698330538555027e-13,1.1967554307620343e-06,1.2677466878999716e-14,99.99999880324425
Patrick Rafter,8.62,6.38,4.14,5.97,50.35,33.08,31.99,26.6,10.74,38.34684210526316,29.02157894736841,44.09,53.26,46.74,1.22,0.6,5.87,8.316574030337739e-15,5.92907542579737e-08,4.827245417440153e-16,99.9999999407093
Paul Henri Mathieu,6.24,5.83,7.01,10.38,6.41,54.17,4.49,44.44,17.39,31.03,34.89666666666667,43.5,45.72,54.28,0.85,2.83,13.27,7.310442738611979e-07,99.48800583313206,0.5119934292653243,6.558203087691629e-09
Pedja Krstin,2.73,3.64,3.64,6.36,5.45,50.0,3.64,66.67,0.0,18.03,24.55,31.88,56.36,43.64,1.29,0.73,9.12,3.8440531172279953e-10,4.093036309290771,95.90696368441549,5.9092555549090975e-09
Pedro Cachin,7.23,3.5,6.67,8.55,8.65,68.34,7.16,43.56,11.69,26.215,30.355,35.82,53.63,46.37,1.27,0.76,7.04,1.5868547210327336e-06,99.98120442093892,0.01879077147678008,3.220729586852343e-06
Pedro Martinez,7.98,1.84,9.2,7.98,14.11,29.41,10.43,47.83,11.76,22.67,30.67,33.46,45.91,54.09,0.85,2.62,16.85,0.010391640220759515,99.98800979632404,0.0010131852278660398,0.0005853782273433013
Pedro Sousa,10.0,8.0,14.0,12.0,10.0,100.0,5.0,40.0,14.29,48.78,36.0,21.18,46.23,53.77,0.86,0.0,5.63,0.004533931150836703,99.96580744539607,0.029658431350808517,1.9210230814234464e-07
Pete Sampras,8.53,5.93,5.27,6.7,35.56,33.07,24.48,28.58,13.52,41.07402173913047,30.772391304347817,44.96,53.27,46.73,1.19,1.93,9.22,3.918546832343812e-09,0.0660321597913059,4.52778107062353e-09,99.93396783176242
Peter Gojowczyk,7.19,4.06,10.28,6.98,9.01,52.84,6.44,47.92,7.16,33.5225,34.122499999999995,41.96,48.34,51.66,1.0,0.74,9.08,0.00038148316031728436,99.94992092680022,0.04969713465468978,4.5538483698805685e-07
Petr Korda,11.53,5.18,10.78,9.39,18.25,53.71,10.73,46.25,17.95,37.934000000000005,35.528,29.33,54.76,45.24,1.29,0.94,10.14,0.0001502024422047212,99.99768481268356,0.0009196524715963464,0.0012453324026840376
Philipp Kohlschreiber,8.13,4.41,7.95,7.23,7.54,73.21,4.96,36.96,12.01,30.23,31.94346153846153,37.6,49.7,50.3,1.06,1.65,12.46,3.143087683482263e-05,99.99837454810002,0.0015937940923509352,2.2693073763921498e-07
Pierre Hugues Herbert,8.78,4.14,7.52,5.51,20.47,58.99,14.18,27.61,25.98,38.9975,28.635,40.24,52.08,47.92,1.22,1.12,9.83,3.1150706826333965e-05,99.04394165336906,7.331422654324541e-07,0.956026462781848
Prajnesh Gunneswaran,8.7,1.27,10.26,4.78,8.52,46.66,4.86,58.93,9.47,26.59,28.57,48.19,47.92,52.08,0.92,1.37,17.36,0.0032179821356039646,99.87762725045228,0.11915397588243867,7.915295186870295e-07
Radek Stepanek,8.2,4.4,6.01,7.96,31.68,45.71,19.38,42.77,10.51,33.854,32.721999999999994,35.32,45.61,54.39,0.86,0.24,9.24,8.109290462092468e-08,5.266817255887303,5.722691590892706e-06,94.73317694032815
Radu Albot,5.89,2.29,7.46,7.69,13.38,47.21,9.84,52.37,9.68,20.10666666666667,31.175,31.51,49.7,50.3,1.07,2.24,12.07,3.2976275551279816e-05,99.9716130753479,0.028108208571149446,0.00024573980536794434
Rafael Nadal,9.14,3.36,7.13,5.71,8.46,63.11,6.4,38.66,15.2,26.969439655172412,30.322025862068976,29.73,55.3,44.7,1.35,2.68,10.35,7.148483335567164e-06,99.99995022816618,3.813567716536709e-05,4.4876733199742816e-06
Reilly Opelka,7.52,4.36,9.27,5.65,8.76,68.29,5.76,37.87,15.7,51.215,29.86,70.18,45.98,54.02,0.88,1.28,17.47,3.618183649825255e-05,99.83087747658679,0.16908616825101877,1.7332561537430252e-07
Renzo Olivo,4.37,2.48,14.16,8.63,6.1,40.0,3.28,60.84,2.63,17.189999999999998,37.64,23.93,42.51,57.49,0.75,2.48,14.72,3.084981374282711,95.08962559466538,1.8253930208783398,1.017345571792711e-08
Ricardas Berankis,9.32,3.74,7.76,9.84,14.52,52.02,8.92,56.36,6.67,32.704,34.646,33.44,54.51,45.49,1.25,0.81,11.52,3.6772997400267385e-07,99.50531327089912,0.49465088908894755,3.5472281985664225e-05
Ricardo Hocevar,4.76,2.86,11.43,10.48,4.76,66.67,2.86,40.0,28.57,20.0,28.57,32.51,40.91,59.09,0.69,1.77,12.39,0.21646801493873927,99.77726033985817,0.0062715243253202765,1.2087783381146175e-07
Richard Gasquet,5.28,4.74,5.98,6.72,11.49,55.39,7.39,42.09,12.71,27.090909090909086,27.260606060606055,34.42,47.34,52.66,1.0,0.18,6.57,6.440908294175002e-06,99.98796653425626,0.011953840335073239,7.318450041037938e-05
Richard Krajicek,9.99,6.14,4.51,5.5,44.04,35.27,29.0,26.28,8.73,47.06666666666667,26.85333333333333,49.69,53.73,46.27,1.2,3.07,11.17,4.0967602426864185e-12,2.3304114696026435e-05,6.927740513046336e-13,99.99997669588053
Roberto Bautista Agut,9.0,2.13,6.89,7.17,8.89,60.28,6.56,41.21,14.16,26.438888888888886,29.78055555555555,38.83,49.61,50.39,1.07,2.49,12.39,8.890997415518834e-06,99.99978197116609,0.00020449665241409267,4.641184082543047e-06
Robin Haase,7.17,3.57,7.48,6.98,10.18,62.59,7.44,36.58,10.64,31.204375,30.474375,35.98,47.45,52.55,0.98,1.3,13.78,5.474125907733881e-05,99.99916074653677,0.0007714850737623771,1.3027130371713685e-05
Robin Soderling,8.52,3.76,10.22,8.89,13.38,68.29,8.72,44.07,15.29,33.24333333333334,38.25666666666667,29.2,47.7,52.3,1.0,1.8,15.39,4.736622540152241e-05,99.99914535799562,0.0007877278690949768,1.9547909830705666e-05
Roger Federer,9.49,4.58,8.26,7.4,16.6,55.22,11.81,38.83,15.65,35.10794444444445,34.06447222222224,38.31,54.21,45.79,1.26,2.16,10.35,1.182136265135466e-05,99.99877157674152,0.00016705410098176687,0.0010495477949068865
Ruben Ramirez Hidalgo,8.26,1.83,12.84,11.93,4.59,100.0,2.75,40.0,11.11,37.21,36.7,21.08,41.41,58.59,0.71,0.81,6.45,0.0004852760677995796,99.99931229048902,0.00020239988432048628,3.355902441911393e-08
Ryan Harrison,3.44,3.37,7.68,3.81,7.14,57.5,3.1,73.22,4.35,29.19,25.255000000000003,48.08,48.63,51.37,0.96,1.62,14.5,2.654033493422401e-08,1.2780528249265666,98.72194714736257,1.1706018082992332e-09
Sam Querrey,7.02,3.12,7.89,6.29,9.63,60.01,5.35,48.7,8.87,39.313750000000006,32.4275,52.1,44.54,55.46,0.82,1.6,10.53,6.270183497218959e-07,99.95893273177575,0.04106608165397344,5.595519478946337e-07
Samuel Groth,4.81,3.8,4.6,2.64,45.39,25.14,30.55,25.34,1.08,38.38,31.095,54.76,43.72,56.28,0.78,0.0,8.3,7.536978848371709e-13,1.6969525567544394e-06,4.034546007870924e-15,99.99999830304668
Sanam Singh,4.71,3.53,8.24,8.24,12.94,60.0,5.88,45.45,5.0,28.57,31.76,37.26,29.79,70.21,0.42,0.0,14.63,0.002508666411658703,99.90048205374359,0.09698351621958144,2.57636250661046e-05
Santiago Giraldo,5.36,4.76,10.78,10.68,6.02,27.78,3.32,39.16,0.0,24.385,36.76,21.9,49.44,50.56,1.05,1.94,13.08,0.07719030905755642,99.83495426716941,0.0878554135311273,1.0241921367406898e-08
Scott Griekspoor,2.33,4.65,12.79,11.63,10.47,50.0,4.65,77.78,0.0,22.58,38.37,34.52,39.78,60.22,0.66,0.44,9.21,1.5165692494750444e-06,0.03385513883298067,99.9661433445889,8.85901196793667e-12
Sebastian Baez,10.74,4.43,8.66,7.6,7.63,64.02,5.69,35.19,15.91,30.836666666666662,31.92333333333333,27.14,55.69,44.31,1.28,4.98,7.77,3.954533405343454e-05,99.99995106904566,8.928189647244435e-06,4.574306357944792e-07
Sebastien Grosjean,9.3,2.98,9.64,6.33,14.96,54.65,8.96,46.64,4.39,33.99,30.4225,37.04,47.78,52.22,0.94,3.83,16.06,0.002190661984602316,99.99506607942465,0.0025582305463713105,0.00018502804444392386
Sergi Bruguera,7.42,5.03,5.93,8.17,10.3,52.08,6.95,45.61,12.29,29.740909090909096,28.019090909090902,27.83,49.04,50.96,1.0,1.83,10.13,1.5778486087825688e-06,99.98342542296852,0.016560992650949912,1.2006531997721048e-05
Sergiy Stakhovsky,5.56,4.93,8.49,8.53,25.65,43.35,17.41,34.67,12.16,32.157777777777774,31.51777777777778,38.24,47.53,52.47,0.97,0.44,8.63,0.0021178246793461942,87.17524845065842,0.0007586807985908223,12.821875043863724
Simone Bolelli,7.58,2.18,13.64,6.85,7.28,57.5,4.06,43.75,15.38,30.47,37.45,43.97,46.24,53.76,0.86,0.84,15.6,0.0778736431656847,99.92107532326212,0.001050985916047167,4.7656185386516205e-08
Sjeng Schalken,5.04,5.9,5.62,5.76,10.11,36.09,6.53,42.19,8.6,22.0,21.96,45.14,50.75,49.25,1.04,0.74,8.98,0.0007575724729412156,99.16358727172067,0.835644712487765,1.0443318776489443e-05
Slobodan Zivojinovic,8.36,5.47,6.11,2.57,36.01,31.75,20.26,31.25,7.58,39.74,28.94,42.16,47.08,52.92,0.89,0.0,15.27,1.462857332790438e-07,0.08252741321487246,1.7559505331093076e-09,99.91747243874346
Soon Woo Kwon,10.59,2.35,13.53,7.06,12.94,60.0,8.82,45.45,18.18,31.25,30.59,32.2,43.71,56.29,0.78,0.28,11.91,1.8664411712408795,98.13321836144794,3.440339244820781e-05,0.0003060639189009728
Stan Wawrinka,8.44,4.71,9.35,8.56,10.12,61.12,6.78,41.34,11.26,33.96,33.524545454545446,34.63,49.3,50.7,1.01,1.07,8.56,7.564469418300559e-05,99.99704224315066,0.0028802988994318106,1.8132557760061462e-06
Stefan Edberg,8.87,7.41,4.9,6.31,52.15,34.08,33.29,30.15,12.3,35.690571428571424,31.68300000000001,34.72,53.59,46.41,1.21,0.23,7.27,5.0951245476262984e-15,1.991364436618115e-08,1.870595664274517e-16,99.99999998008633
Stefano Napolitano,12.0,4.0,5.0,6.0,19.0,61.54,13.0,52.63,12.2,33.33,31.0,40.86,60.19,39.81,1.51,4.76,8.57,4.378012974266938e-09,99.99213577447297,0.0012034968749848331,0.006660724274184672
Stefanos Tsitsipas,8.03,2.72,9.0,6.6,15.36,50.22,10.22,49.66,6.59,31.48300000000001,32.083000000000006,50.42,47.48,52.52,0.97,2.38,9.24,0.000172764154388933,99.98510663726437,0.014529300089973928,0.00019129849119590476
Stephane Robert,11.11,4.27,7.69,5.98,11.97,40.0,4.27,57.14,14.29,35.29,26.5,28.24,43.65,56.35,0.77,0.0,10.53,7.592773343842206e-06,99.99740597633331,0.0025562454629678446,3.0185430476096596e-05
Steve Johnson,8.91,3.02,7.71,4.82,9.93,60.04,7.28,43.3,6.91,33.135555555555555,30.492222222222225,35.43,50.24,49.76,1.1,3.46,11.4,1.3990306554714896e-05,99.9997841203379,0.00019352619002304403,8.363165503227592e-06
Tallon Griekspoor,8.85,2.96,9.6,8.94,17.86,52.37,11.6,48.91,12.81,34.97,35.03166666666666,39.59,48.86,51.14,0.98,2.86,11.35,2.607062867584754e-05,99.99607284485093,0.0025174756814067096,0.001383608839029045
Taro Daniel,4.26,2.09,5.86,7.9,9.8,26.78,6.92,55.73,6.25,17.785,25.86,37.28,46.29,53.71,0.9,0.46,7.73,2.244165526261442e-05,99.09012300177355,0.9098297102040138,2.4846367180021365e-05
Taylor Fritz,6.34,3.56,10.15,5.84,12.11,59.01,8.13,41.26,6.67,32.27666666666667,31.525,40.69,45.92,54.08,0.86,0.79,9.15,0.0031502612766516848,99.99477027215124,0.002045571804418334,3.389476767780003e-05
Tennys Sandgren,6.57,4.97,8.94,7.96,9.41,56.4,5.74,49.37,17.31,33.02166666666667,32.403333333333336,33.0,48.83,51.17,1.02,1.0,8.45,7.864044667155523e-06,99.94958082526308,0.05041015589955346,1.1547926772169507e-06
Teymuraz Gabashvili,11.28,3.97,9.85,9.16,15.59,58.73,9.96,44.14,8.71,37.1575,31.51,26.33,48.82,51.18,0.98,1.25,10.61,0.0004871110000415632,99.99834338848106,0.00036007627974682274,0.0008094242391188922
Thanasi Kokkinakis,9.32,2.23,9.31,7.21,7.71,62.78,4.39,45.28,7.04,33.973333333333336,31.836666666666662,38.77,41.92,58.08,0.75,3.73,15.97,0.0003285076604503533,99.99844897604885,0.001222293269851105,2.2302084413993637e-07
Thiago Monteiro,3.72,2.86,8.26,5.24,7.24,58.34,4.04,55.84,0.0,18.075,31.125,24.16,52.64,47.36,1.14,2.5,9.05,2.941291917824823e-05,99.67271272099332,0.3272575315928199,3.3449451934942884e-07
Thiemo De Bakker,6.67,5.93,9.84,8.5,14.33,43.96,9.41,47.26,21.79,36.935,34.605000000000004,38.94,46.5,53.5,0.88,0.18,12.36,6.352671793346019e-05,99.95239373255775,0.04749841704416547,4.432368020476943e-05
Thomas Enqvist,6.92,4.95,6.72,9.29,7.89,47.5,4.37,54.69,10.56,40.1875,34.025000000000006,38.21,54.31,45.69,1.39,1.13,9.42,9.215827444211292e-09,89.68613051519829,10.313869424971154,5.061487790562259e-08
Thomas Fabbiano,10.47,2.1,9.51,8.19,9.14,67.78,6.29,43.92,18.38,26.035,33.504999999999995,33.15,60.35,39.65,1.53,1.48,15.31,4.577355177318848e-05,99.99921461392887,0.0007378035019016419,1.809017416066853e-06
Thomas Johansson,6.17,6.01,6.74,7.47,13.81,47.19,9.9,50.89,16.08,37.37666666666667,32.88666666666666,44.45,50.64,49.36,1.03,1.11,9.4,6.921028373753188e-08,99.54846203793338,0.4515090758717928,2.8816984637655823e-05
Thomas Muster,8.02,3.53,7.15,7.16,10.29,47.74,7.13,47.37,13.2,24.797,32.557,27.18,52.5,47.5,1.15,4.03,9.5,1.8907759070660801e-06,99.99950895670759,0.000483605350594982,5.54716598511024e-06
Thomaz Bellucci,7.31,2.56,10.82,8.71,10.26,54.86,7.42,40.44,10.87,26.255,37.4075,38.6,43.92,56.08,0.79,1.49,9.96,0.0026954595089608317,99.99707233795293,0.00023033686290592685,1.8656751493525607e-06
Tim Henman,5.68,3.65,7.69,7.72,39.98,23.82,22.97,38.21,11.2,23.796666666666667,36.14888888888888,42.54,43.55,56.45,0.84,2.12,9.27,2.358495137635986e-07,0.015430955836308208,2.630860538931573e-09,99.98456880568321
Tim Smyczek,5.79,2.52,11.38,8.43,6.95,49.17,5.06,37.38,9.71,21.116666666666667,32.75666666666667,26.46,49.56,50.44,0.99,0.8,15.06,0.27154419314187733,99.72716799283616,0.0012872541695343514,5.598523203991814e-07
Tobias Kamke,6.77,6.25,8.33,6.77,9.38,64.29,7.29,38.89,13.64,31.46,31.77,32.02,47.07,52.93,0.89,0.92,7.6,5.8160769060571044e-05,99.99824503311774,0.0016943434745591587,2.462638732255937e-06
Todd Martin,7.28,5.8,5.72,6.28,34.27,27.47,21.12,36.35,7.72,37.30428571428571,30.087142857142855,38.14,49.75,50.25,1.01,0.77,10.56,9.042264987970575e-08,0.4385413697166255,6.09025136926481e-07,99.56145793083559
Todd Woodbridge,6.74,3.57,7.04,9.82,21.34,38.31,13.08,41.7,7.0,27.85666666666667,36.68333333333334,40.1,48.33,51.67,0.94,1.46,15.19,8.715174921487067e-06,99.97963152146166,0.0063668400495712945,0.0139929233138739
Tomas Berdych,8.86,3.29,9.07,6.52,11.72,64.52,7.72,40.86,11.68,34.334042553191495,32.02574468085106,38.0,48.14,51.86,0.98,1.85,13.25,0.00010999992383422626,99.99954822553077,0.00032197137218185787,1.980317320345545e-05
Tommy Haas,5.84,4.46,8.94,8.53,12.23,62.68,7.15,41.06,9.57,30.944615384615386,33.88153846153846,34.8,43.71,56.29,0.81,1.65,8.69,0.00010744275254051666,99.99378726884859,0.006095811112154412,9.47728665983125e-06
Tommy Paul,6.37,4.1,10.49,6.73,10.94,58.46,7.84,42.78,12.42,27.117500000000003,33.58,33.99,50.18,49.82,1.03,1.26,10.5,0.0023646230954337192,99.99491445577065,0.0027132695739077407,7.651559977546887e-06
Tommy Robredo,6.51,2.58,8.29,5.57,6.7,64.16,5.07,39.48,10.54,25.18,27.381,38.61,45.85,54.15,0.91,3.26,14.82,0.0023007922759020367,99.99633457723291,0.0013637830701334073,8.474210783297456e-07
Ty Trombetta,5.08,5.08,9.32,16.1,7.63,57.14,5.93,55.56,0.0,31.48,38.98,37.27,44.14,55.86,0.79,0.42,10.59,2.621305518387116e-07,2.3710007023187836,97.62899903543487,1.1575703525118634e-10
Uladzimir Ignatik,3.85,5.13,12.82,12.82,11.54,44.44,5.77,50.0,0.0,38.03,39.1,40.26,33.62,66.38,0.51,0.0,11.37,0.06633311973367312,48.09814542384674,51.83552137857439,7.784522607857271e-08
Ulises Blanch,12.61,7.21,9.91,2.7,11.71,90.0,9.01,30.77,16.67,50.77,28.83,40.46,61.11,38.89,1.57,1.88,8.12,8.867593722025338e-05,99.99986182926281,2.0108713500995335e-05,2.938608631039036e-05
Victor Estrella,7.73,1.08,11.21,4.99,5.93,86.67,3.52,38.89,10.23,24.293333333333333,30.706666666666663,35.55,48.01,51.99,1.0,1.08,14.08,0.027144330661081857,99.97276317986899,9.211199090511108e-05,3.774790420676544e-07
Viktor Troicki,4.19,4.2,9.73,12.75,13.57,44.98,8.49,46.17,7.66,32.37500000000001,36.14833333333333,34.1,37.71,62.29,0.62,0.42,10.37,0.0006522401312422855,98.93982889537621,1.0595013616038893,1.7502888703159744e-05
Vincent Millot,10.0,2.0,16.0,11.0,10.0,71.43,7.0,50.0,0.0,31.71,43.0,39.0,40.11,59.89,0.67,0.46,13.36,4.349947548152651,95.63252008885603,0.017532271589208254,9.140209990867766e-08
Vladimir Ivanov,10.52,3.34,6.98,9.1,8.53,60.76,7.57,40.3,3.57,30.9175,33.0325,27.96,59.18,40.83,1.78,1.46,7.58,7.783304251841232e-06,99.99609089998545,0.003898784510220755,2.5322001257197976e-06
Vladimir Voltchkov,7.02,3.51,4.68,4.09,18.13,38.89,10.53,51.61,6.56,38.36,26.9,52.24,44.12,55.88,0.79,4.55,19.09,2.716298751938297e-07,99.92820436068884,0.06892156707349212,0.0028738006076670175
Wally Masur,6.0,3.0,6.0,5.0,38.0,30.0,20.0,47.37,14.29,33.33,26.0,30.71,46.63,53.37,0.87,4.14,10.06,3.0772654968227834e-10,0.005009070092239602,1.1544801571312372e-09,99.99499092844543
Wayne Ferreira,6.26,3.75,7.93,10.85,15.37,37.03,10.02,35.3,3.59,33.5,35.660000000000004,34.21,42.75,57.25,0.78,2.36,10.25,0.00010348795128153447,99.99846386406576,0.0012522143335125877,0.00018043364950459304
Xavier Malisse,7.31,2.69,10.0,7.69,11.92,57.89,7.31,61.29,11.63,39.84,31.92,29.98,42.34,57.66,0.73,1.72,6.88,2.680754952479976e-06,99.96493161617748,0.035032338692616474,3.336437487604046e-05
Yannick Mertens,6.03,2.24,8.88,8.78,4.2,30.0,3.03,53.34,26.66,18.6,37.05,40.54,51.28,48.72,1.12,0.66,5.01,1.082905654961091e-06,99.99538080021321,0.004618108879577762,8.00161829073589e-09
Yasutaka Uchiyama,4.89,1.63,8.15,3.26,5.43,33.33,3.26,60.0,4.0,26.67,25.54,43.98,47.67,52.33,0.91,2.78,10.0,7.35518022840692e-05,99.59075666756391,0.40916959597794,1.8465591366386846e-07
Yevgeny Kafelnikov,6.15,3.85,6.71,9.32,15.41,55.66,9.39,45.83,13.36,30.674,31.354666666666667,33.52,47.62,52.38,0.98,0.8,8.47,8.138469678402922e-07,99.98133648162305,0.018013503406694855,0.0006492011232492185
Yuichi Ito,3.7,2.47,12.35,7.41,16.05,42.86,8.64,46.15,11.11,21.43,33.33,18.06,33.14,66.86,0.5,0.0,7.69,2.6332949213912094,97.36097368153946,0.0001675042768190585,0.005563892792633037
Yuichi Sugita,4.82,2.41,3.61,8.43,6.02,100.0,3.61,40.0,0.0,17.86,31.33,23.07,57.46,42.54,1.35,1.44,6.73,1.0430119852286006e-09,99.98542975739933,0.014570005996851546,2.3556069153785906e-07
Ze Zhang,6.58,3.4,13.86,9.63,8.3,76.39,6.67,23.34,0.0,32.93,33.43,34.67,37.11,62.89,0.6,0.76,11.51,83.84685029687806,16.153116822726794,3.2669814927906645e-05,2.1058009656736075e-07
